"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 21 10:35:27 UTC 2022","Wed Sep 21 10:35:43 UTC 2022","15932","","Login page","","Login page","Company email input field appears, when user click ""Single Sign-On button""","Company email input field appears, when user click ""Single Sign-On button""",""
"passed","Wed Sep 21 13:59:18 UTC 2022","Wed Sep 21 13:59:20 UTC 2022","1745","","Main page functional","","Main page functional","Drop-down appears when user hover on Pricing in header","Drop-down appears when user hover on Pricing in header",""
"passed","Wed Sep 21 10:36:50 UTC 2022","Wed Sep 21 10:36:54 UTC 2022","4216","","Main page functional","","Main page functional","In Powerful products block displayed: Video API card","In Powerful products block displayed: Video API card",""
"passed","Wed Sep 21 13:56:44 UTC 2022","Wed Sep 21 13:56:46 UTC 2022","1888","","Main page functional","","Main page functional","Drop-down appears when user hover on Resources in header","Drop-down appears when user hover on Resources in header",""
"passed","Wed Sep 21 10:27:37 UTC 2022","Wed Sep 21 10:27:54 UTC 2022","17518","","Login page","","Login page","List with another autorization methods appears when user click ""Log in with another OAuth Provider"" button","List with another autorization methods appears when user click ""Log in with another OAuth Provider"" button",""
"passed","Wed Sep 21 10:27:20 UTC 2022","Wed Sep 21 10:27:33 UTC 2022","12946","","Main page functional","","Main page functional","User directed to sign-up page with empty email, when email field in try for free form empty","User directed to sign-up page with empty email, when email field in try for free form empty",""
"passed","Wed Sep 21 13:58:33 UTC 2022","Wed Sep 21 13:58:39 UTC 2022","5513","","Login page","","Login page","User directed on Facebook login form by click [Log in with Facebook] button","User directed on Facebook login form by click [Log in with Facebook] button",""
"passed","Wed Sep 21 10:33:50 UTC 2022","Wed Sep 21 10:34:09 UTC 2022","18637","","Login page","","Login page","User directed on LinkedIn login form by click [Log in with LinkedIn] button","User directed on LinkedIn login form by click [Log in with LinkedIn] button",""
"passed","Wed Sep 21 13:59:09 UTC 2022","Wed Sep 21 13:59:12 UTC 2022","3348","","Main page functional","","Main page functional","Drop-down appears when user hover on Products in header","Drop-down appears when user hover on Products in header",""
"passed","Wed Sep 21 10:32:24 UTC 2022","Wed Sep 21 10:32:49 UTC 2022","25088","","Login page","","Login page","Error message appears when user try to login with empty input","Error message appears when user try to login with empty input",""
"passed","Wed Sep 21 10:28:32 UTC 2022","Wed Sep 21 10:28:49 UTC 2022","17416","","Login page","","Login page","User directed on Facebook login form by click [Log in with Facebook] button","User directed on Facebook login form by click [Log in with Facebook] button",""
"passed","Wed Sep 21 10:36:33 UTC 2022","Wed Sep 21 10:36:43 UTC 2022","9849","","Main page functional","","Main page functional","User directed to sign-up page with empty email, when email field in try for free form empty","User directed to sign-up page with empty email, when email field in try for free form empty",""
"passed","Wed Sep 21 10:27:41 UTC 2022","Wed Sep 21 10:27:48 UTC 2022","6953","","Main page functional","","Main page functional","In Powerful products block displayed: Video API card","In Powerful products block displayed: Video API card",""
"passed","Wed Sep 21 13:56:38 UTC 2022","Wed Sep 21 13:56:42 UTC 2022","4126","","Main page functional","","Main page functional","Drop-down appears when user hover on Products in header","Drop-down appears when user hover on Products in header",""
"passed","Wed Sep 21 13:59:25 UTC 2022","Wed Sep 21 13:59:27 UTC 2022","1860","","Main page functional","","Main page functional","In Powerful products block displayed: Video API card","In Powerful products block displayed: Video API card",""
"passed","Wed Sep 21 13:56:57 UTC 2022","Wed Sep 21 13:57:04 UTC 2022","6508","","Login page","","Login page","List with another autorization methods appears when user click ""Log in with another OAuth Provider"" button","List with another autorization methods appears when user click ""Log in with another OAuth Provider"" button",""
"passed","Wed Sep 21 13:58:00 UTC 2022","Wed Sep 21 13:58:08 UTC 2022","8399","","Login page","","Login page","Error message appears when user try to login with empty input","Error message appears when user try to login with empty input",""
